llm_issue_category,appid,game_name,issue_name_kor,affected_review_count,positive_review_count,negative_review_count,mixed_review_count,negative_mixed_review_count,steam_negative_review_count,high_urgency_review_count,high_urgency_negative_mixed_review_count,recent_30d_review_count,recent_30d_negative_mixed_review_count,early_playtime_negative_mixed_review_count,avg_playtime_at_review_hours,median_playtime_at_review_hours,high_urgency_rate,negative_mixed_rate,steam_negative_rate,recent_30d_negative_mixed_rate,action_group_hint,priority_candidate,rule_priority_hint,priority_selection_note,priority_rule_detail,priority_reason,patch_ops_note,source_run
gameplay_loop,1309950,Children of the Sun,게임플레이 루프,179,63,93,6,99,50,11,11,5,2,87,3.86,3.55,0.0615,0.5531,0.2793,0.4,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 179개, 부정·혼합 99개, Steam 비추천 맥락 50개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 87개, High urgency 후보 11개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","반복 피로, 목표 구조, 보상 흐름을 점검하고 플레이 루프의 지루함을 줄인다.",children_of_the_sun
difficulty,1309950,Children of the Sun,난이도,97,18,46,4,50,10,4,4,1,1,37,5.01,3.93,0.0412,0.5155,0.1031,1.0,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 97개, 부정·혼합 50개, Steam 비추천 맥락 10개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 37개, High urgency 후보 4개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",초반 진입 장벽과 후반 난이도 피로를 구분해 난이도 옵션 또는 안내를 보강한다.,children_of_the_sun
content_volume,1309950,Children of the Sun,콘텐츠 분량,208,25,52,4,56,13,2,2,1,0,40,4.12,3.81,0.0096,0.2692,0.0625,0.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 208개, 부정·혼합 56개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 40개, High urgency 후보 2개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,children_of_the_sun
graphics_audio,1309950,Children of the Sun,그래픽/사운드,87,34,36,5,41,21,7,6,2,2,29,3.96,3.5,0.0805,0.4713,0.2414,1.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 87개, 부정·혼합 41개, Steam 비추천 맥락 21개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 29개, High urgency 후보 7개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",그래픽/사운드가 몰입을 방해하는지와 강점으로 작동하는지를 함께 확인한다.,children_of_the_sun
price_value,1309950,Children of the Sun,가격/가치,58,13,27,3,30,13,0,0,1,0,27,3.39,3.43,0.0,0.5172,0.2241,0.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 58개, 부정·혼합 30개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 27개, 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈",가격 대비 만족도 불만이 반복되는지 확인하고 할인/번들/콘텐츠 가치 전달을 검토한다.,children_of_the_sun
story,1309950,Children of the Sun,스토리,65,14,22,1,23,11,0,0,0,0,15,4.04,4.03,0.0,0.3538,0.1692,0.0,장기 검토,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 65개, 부정·혼합 23개, Steam 비추천 맥락 11개, 초반 플레이타임 부정·혼합 15개, 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","서사 전달, 퀘스트 흐름, 엔딩/분기 만족도를 장기 개선 후보로 검토한다.",children_of_the_sun
ui_ux,1309950,Children of the Sun,UI/UX,33,3,27,1,28,7,6,6,2,2,20,4.92,3.25,0.1818,0.8485,0.2121,1.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 33개, 부정·혼합 28개, Steam 비추천 맥락 7개, 최근 30일 부정·혼합 2개, 초반 플레이타임 부정·혼합 20개, High urgency 후보 6개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","메뉴, 인벤토리, 퀘스트 안내, 조작 안내 등 편의성 문제를 개선한다.",children_of_the_sun
control,1309950,Children of the Sun,조작감,30,5,20,1,21,7,5,5,0,0,14,4.14,3.29,0.1667,0.7,0.2333,0.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 30개, 부정·혼합 21개, Steam 비추천 맥락 7개, 초반 플레이타임 부정·혼합 14개, High urgency 후보 5개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","이동, 전투, 상호작용 조작의 반응성과 키 설정 편의성을 점검한다.",children_of_the_sun
other,1309950,Children of the Sun,기타,38,2,11,0,11,6,2,2,0,0,10,3.06,2.88,0.0526,0.2895,0.1579,0.0,검토 필요,중,중,기타 이슈는 원인이 명확하지 않아 세부 리뷰 확인 대상으로 분리,기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리,"영향 리뷰 38개, 부정·혼합 11개, Steam 비추천 맥락 6개, 초반 플레이타임 부정·혼합 10개, High urgency 후보 2개(보조 참고), 절대 기준 후보 중, 규칙 근거: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리",세부 리뷰를 확인해 반복되는 하위 원인이 있는지 검토한다.,children_of_the_sun
bug,1309950,Children of the Sun,버그,10,0,10,0,10,4,6,6,0,0,8,4.31,3.47,0.6,1.0,0.4,0.0,즉시 확인,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 10개, 부정·혼합 10개, Steam 비추천 맥락 4개, 초반 플레이타임 부정·혼합 8개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","반복 언급된 버그를 재현 가능성 기준으로 분류하고, 플레이 방해 수준이 큰 항목부터 수정한다.",children_of_the_sun
save_progression,1309950,Children of the Sun,저장/진행,5,0,5,0,5,3,5,5,0,0,5,2.01,1.43,1.0,1.0,0.6,0.0,즉시 확인,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 5개, 부정·혼합 5개, Steam 비추천 맥락 3개, 초반 플레이타임 부정·혼합 5개, High urgency 후보 5개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","저장 손실, 진행 막힘, 퀘스트 진행 불가 여부를 우선 점검한다.",children_of_the_sun
crash,1309950,Children of the Sun,크래시,5,0,5,0,5,0,5,5,0,0,5,1.99,2.57,1.0,1.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 5개, 부정·혼합 5개, Steam 비추천 맥락 0개, 초반 플레이타임 부정·혼합 5개, High urgency 후보 5개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","크래시 발생 조건과 로그를 우선 확인하고, 재현 가능한 오류부터 수정한다.",children_of_the_sun
balance,1309950,Children of the Sun,밸런스,4,0,3,1,4,1,0,0,0,0,2,5.31,4.87,0.0,1.0,0.25,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 4개, 부정·혼합 4개, Steam 비추천 맥락 1개, 초반 플레이타임 부정·혼합 2개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","전투, 성장, 보상, 적 난이도의 불균형 지점을 조정한다.",children_of_the_sun
progression_grind,1309950,Children of the Sun,성장/반복 노가다,5,2,2,0,2,1,0,0,0,0,2,4.27,3.65,0.0,0.4,0.2,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 5개, 부정·혼합 2개, Steam 비추천 맥락 1개, 초반 플레이타임 부정·혼합 2개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",반복 성장과 노가다 피로를 줄일 수 있는 보상/성장 속도 조정을 검토한다.,children_of_the_sun
optimization,1309950,Children of the Sun,최적화,2,0,2,0,2,0,1,1,0,0,0,5.96,5.96,0.5,1.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 2개, 부정·혼합 2개, Steam 비추천 맥락 0개, High urgency 후보 1개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",최적화 이슈가 특정 구간이나 사양에서 반복되는지 확인한다.,children_of_the_sun
multiplayer_network,1309950,Children of the Sun,멀티/네트워크,2,0,1,0,1,1,0,0,0,0,1,3.14,3.14,0.0,0.5,0.5,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 2개, 부정·혼합 1개, Steam 비추천 맥락 1개, 초반 플레이타임 부정·혼합 1개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",세부 리뷰 확인 후 대응 방향을 검토한다.,children_of_the_sun
developer_communication,1309950,Children of the Sun,개발사 소통,1,0,1,0,1,1,0,0,0,0,1,0.1,0.1,0.0,1.0,1.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 1개, Steam 비추천 맥락 1개, 초반 플레이타임 부정·혼합 1개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","패치 노트, 공지, 커뮤니티 응답 등 운영 커뮤니케이션을 점검한다.",children_of_the_sun
performance,1309950,Children of the Sun,성능,2,1,0,0,0,0,0,0,0,0,0,7.22,7.22,0.0,0.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 2개, 부정·혼합 0개, Steam 비추천 맥락 0개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","프레임 저하, 로딩, 끊김 등 성능 문제를 환경별로 점검한다.",children_of_the_sun
positive_praise,1309950,Children of the Sun,긍정 칭찬,736,736,0,0,0,11,6,0,10,0,0,4.4,3.86,0.0082,0.0,0.0149,0.0,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 736개, 부정·혼합 0개, Steam 비추천 맥락 11개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리","긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",children_of_the_sun
gameplay_loop,2990640,Endoparasitic 2,게임플레이 루프,87,20,55,4,59,35,22,21,0,0,21,7.87,6.45,0.2529,0.6782,0.4023,0.0,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 5개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 87개, 부정·혼합 59개, Steam 비추천 맥락 35개, 초반 플레이타임 부정·혼합 21개, High urgency 후보 22개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","반복 피로, 목표 구조, 보상 흐름을 점검하고 플레이 루프의 지루함을 줄인다.",endoparasitic_2
bug,2990640,Endoparasitic 2,버그,16,1,14,1,15,5,6,6,0,0,2,8.9,8.53,0.375,0.9375,0.3125,0.0,즉시 확인,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 16개, 부정·혼합 15개, Steam 비추천 맥락 5개, 초반 플레이타임 부정·혼합 2개, High urgency 후보 6개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","반복 언급된 버그를 재현 가능성 기준으로 분류하고, 플레이 방해 수준이 큰 항목부터 수정한다.",endoparasitic_2
ui_ux,2990640,Endoparasitic 2,UI/UX,34,2,30,1,31,13,11,11,0,0,15,7.1,6.35,0.3235,0.9118,0.3824,0.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 34개, 부정·혼합 31개, Steam 비추천 맥락 13개, 초반 플레이타임 부정·혼합 15개, High urgency 후보 11개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","메뉴, 인벤토리, 퀘스트 안내, 조작 안내 등 편의성 문제를 개선한다.",endoparasitic_2
balance,2990640,Endoparasitic 2,밸런스,32,1,26,2,28,9,8,8,0,0,5,9.18,8.24,0.25,0.875,0.2812,0.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 32개, 부정·혼합 28개, Steam 비추천 맥락 9개, 초반 플레이타임 부정·혼합 5개, High urgency 후보 8개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","전투, 성장, 보상, 적 난이도의 불균형 지점을 조정한다.",endoparasitic_2
difficulty,2990640,Endoparasitic 2,난이도,26,3,19,0,19,9,5,5,0,0,2,10.09,10.15,0.1923,0.7308,0.3462,0.0,단기 개선,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 26개, 부정·혼합 19개, Steam 비추천 맥락 9개, 초반 플레이타임 부정·혼합 2개, High urgency 후보 5개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인",초반 진입 장벽과 후반 난이도 피로를 구분해 난이도 옵션 또는 안내를 보강한다.,endoparasitic_2
content_volume,2990640,Endoparasitic 2,콘텐츠 분량,33,1,18,1,19,12,4,3,1,1,4,8.96,8.72,0.1212,0.5758,0.3636,1.0,장기 검토,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 33개, 부정·혼합 19개, Steam 비추천 맥락 12개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 4개, High urgency 후보 4개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인",콘텐츠 부족·반복성은 단기 패치보다 업데이트 로드맵 관점에서 검토한다.,endoparasitic_2
story,2990640,Endoparasitic 2,스토리,32,6,19,0,19,11,7,7,1,1,1,11.02,9.38,0.2188,0.5938,0.3438,1.0,장기 검토,중,중,절대 기준상 '중' 후보로 분류,부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인,"영향 리뷰 32개, 부정·혼합 19개, Steam 비추천 맥락 11개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 1개, High urgency 후보 7개(보조 참고), 절대 기준 후보 중, 규칙 근거: 부정·혼합 맥락과 Steam 비추천 맥락이 일정 수준 확인","서사 전달, 퀘스트 흐름, 엔딩/분기 만족도를 장기 개선 후보로 검토한다.",endoparasitic_2
save_progression,2990640,Endoparasitic 2,저장/진행,6,0,5,0,5,3,3,3,0,0,3,6.08,4.31,0.5,0.8333,0.5,0.0,즉시 확인,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 6개, 부정·혼합 5개, Steam 비추천 맥락 3개, 초반 플레이타임 부정·혼합 3개, High urgency 후보 3개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","저장 손실, 진행 막힘, 퀘스트 진행 불가 여부를 우선 점검한다.",endoparasitic_2
control,2990640,Endoparasitic 2,조작감,8,2,5,0,5,4,4,4,0,0,3,8.9,5.68,0.5,0.625,0.5,0.0,단기 개선,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 8개, 부정·혼합 5개, Steam 비추천 맥락 4개, 초반 플레이타임 부정·혼합 3개, High urgency 후보 4개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","이동, 전투, 상호작용 조작의 반응성과 키 설정 편의성을 점검한다.",endoparasitic_2
graphics_audio,2990640,Endoparasitic 2,그래픽/사운드,15,4,8,1,9,7,6,5,0,0,2,8.1,7.75,0.4,0.6,0.4667,0.0,장기 검토,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 15개, 부정·혼합 9개, Steam 비추천 맥락 7개, 초반 플레이타임 부정·혼합 2개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",그래픽/사운드가 몰입을 방해하는지와 강점으로 작동하는지를 함께 확인한다.,endoparasitic_2
other,2990640,Endoparasitic 2,기타,14,0,6,0,6,6,3,3,1,1,4,6.29,4.65,0.2143,0.4286,0.4286,1.0,검토 필요,하,하,기타 이슈는 원인이 명확하지 않아 세부 리뷰 확인 대상으로 분리,기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리,"영향 리뷰 14개, 부정·혼합 6개, Steam 비추천 맥락 6개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 4개, High urgency 후보 3개(보조 참고), 절대 기준 후보 하, 규칙 근거: 기타 이슈는 원인 범주가 넓어 세부 리뷰 확인 대상으로 분리",세부 리뷰를 확인해 반복되는 하위 원인이 있는지 검토한다.,endoparasitic_2
price_value,2990640,Endoparasitic 2,가격/가치,5,2,2,0,2,1,1,1,0,0,1,6.85,7.73,0.2,0.4,0.2,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 5개, 부정·혼합 2개, Steam 비추천 맥락 1개, 초반 플레이타임 부정·혼합 1개, High urgency 후보 1개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",가격 대비 만족도 불만이 반복되는지 확인하고 할인/번들/콘텐츠 가치 전달을 검토한다.,endoparasitic_2
performance,2990640,Endoparasitic 2,성능,2,0,2,0,2,1,2,2,0,0,1,14.26,14.26,1.0,1.0,0.5,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 2개, 부정·혼합 2개, Steam 비추천 맥락 1개, 초반 플레이타임 부정·혼합 1개, High urgency 후보 2개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","프레임 저하, 로딩, 끊김 등 성능 문제를 환경별로 점검한다.",endoparasitic_2
crash,2990640,Endoparasitic 2,크래시,1,0,1,0,1,1,1,1,0,0,0,24.0,24.0,1.0,1.0,1.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 1개, Steam 비추천 맥락 1개, High urgency 후보 1개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","크래시 발생 조건과 로그를 우선 확인하고, 재현 가능한 오류부터 수정한다.",endoparasitic_2
progression_grind,2990640,Endoparasitic 2,성장/반복 노가다,1,0,1,0,1,1,1,1,0,0,0,11.12,11.12,1.0,1.0,1.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 1개, Steam 비추천 맥락 1개, High urgency 후보 1개(보조 참고), 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함",반복 성장과 노가다 피로를 줄일 수 있는 보상/성장 속도 조정을 검토한다.,endoparasitic_2
developer_communication,2990640,Endoparasitic 2,개발사 소통,1,0,1,0,1,0,0,0,0,0,0,17.52,17.52,0.0,1.0,0.0,0.0,검토 필요,하,하,절대 기준상 하 또는 개선 우선순위 근거가 상대적으로 약함,반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함,"영향 리뷰 1개, 부정·혼합 1개, Steam 비추천 맥락 0개, 절대 기준 후보 하, 규칙 근거: 반복성 또는 Steam 비추천 맥락 근거가 상대적으로 약함","패치 노트, 공지, 커뮤니티 응답 등 운영 커뮤니케이션을 점검한다.",endoparasitic_2
positive_praise,2990640,Endoparasitic 2,긍정 칭찬,164,164,0,0,0,4,6,0,1,0,0,8.93,8.33,0.0366,0.0,0.0244,0.0,강점 유지,하,하,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리,"영향 리뷰 164개, 부정·혼합 0개, Steam 비추천 맥락 4개, High urgency 후보 6개(보조 참고), 절대 기준 후보 하, 규칙 근거: 강점 유지 항목이므로 개선 우선순위 산정 대상에서 분리","긍정적으로 평가된 요소를 유지하고, 업데이트와 마케팅 메시지에서 강점으로 활용한다.",endoparasitic_2
save_progression,619820,Heroes of Hammerwatch II,저장/진행,85,2,82,0,82,77,78,78,1,1,15,44.89,26.97,0.9176,0.9647,0.9059,1.0,즉시 확인,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 85개, 부정·혼합 82개, Steam 비추천 맥락 77개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 15개, High urgency 후보 78개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","저장 손실, 진행 막힘, 퀘스트 진행 불가 여부를 우선 점검한다.",heroes_of_hammerwatch_2
bug,619820,Heroes of Hammerwatch II,버그,82,0,79,0,79,61,61,61,0,0,17,39.17,22.98,0.7439,0.9634,0.7439,0.0,즉시 확인,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 82개, 부정·혼합 79개, Steam 비추천 맥락 61개, 초반 플레이타임 부정·혼합 17개, High urgency 후보 61개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","반복 언급된 버그를 재현 가능성 기준으로 분류하고, 플레이 방해 수준이 큰 항목부터 수정한다.",heroes_of_hammerwatch_2
performance,619820,Heroes of Hammerwatch II,성능,33,2,29,1,30,22,28,28,1,1,8,23.43,10.1,0.8485,0.9091,0.6667,1.0,즉시 확인,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 33개, 부정·혼합 30개, Steam 비추천 맥락 22개, 최근 30일 부정·혼합 1개, 초반 플레이타임 부정·혼합 8개, High urgency 후보 28개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","프레임 저하, 로딩, 끊김 등 성능 문제를 환경별로 점검한다.",heroes_of_hammerwatch_2
crash,619820,Heroes of Hammerwatch II,크래시,21,0,21,0,21,21,21,21,0,0,8,20.37,9.53,1.0,1.0,1.0,0.0,즉시 확인,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 21개, 부정·혼합 21개, Steam 비추천 맥락 21개, 초반 플레이타임 부정·혼합 8개, High urgency 후보 21개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","크래시 발생 조건과 로그를 우선 확인하고, 재현 가능한 오류부터 수정한다.",heroes_of_hammerwatch_2
gameplay_loop,619820,Heroes of Hammerwatch II,게임플레이 루프,306,24,263,5,268,240,82,80,9,7,69,31.17,14.18,0.268,0.8758,0.7843,0.7778,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 306개, 부정·혼합 268개, Steam 비추천 맥락 240개, 최근 30일 부정·혼합 7개, 초반 플레이타임 부정·혼합 69개, High urgency 후보 82개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","반복 피로, 목표 구조, 보상 흐름을 점검하고 플레이 루프의 지루함을 줄인다.",heroes_of_hammerwatch_2
balance,619820,Heroes of Hammerwatch II,밸런스,178,4,171,0,171,137,74,74,3,3,16,45.97,31.02,0.4157,0.9607,0.7697,1.0,단기 개선,상,상,절대 기준 '상' 후보 중 이번 게임 내 상대 우선순위 상위 6개로 유지,절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈,"영향 리뷰 178개, 부정·혼합 171개, Steam 비추천 맥락 137개, 최근 30일 부정·혼합 3개, 초반 플레이타임 부정·혼합 16개, High urgency 후보 74개(보조 참고), 절대 기준 후보 상, 규칙 근거: 절대 기준 상 후보 + 게임 내 상대 우선순위 상위 이슈","전투, 성장, 보상, 적 난이도의 불균형 지점을 조정한다.",heroes_of_hammerwatch_2
